schoolname,addressline1,addressline2,city,State,postalcode,usdcode
500 Reach,7704 Parallel Pkwy,,Kansas City ,KS,66112,500
Abilene High School,1300 N Cedar St,,Abilene ,KS,67410,435
Abilene Virtual School,213 N Broadway,,Abilene ,KS,67410,435
Andale High,700 Rush Ave,,Andale,KS,67001,267
Anderson County Jr/Sr High School,1100 KS-31,,Garnett ,KS,66032,365
Andover Central High School,603 E Central Ave,,Andover ,KS,67002,385
Andover eCademy,1413 N Main St,,Andover ,KS,67002,385
Andover High,2115 Andover Blvd NW,,Andover ,KS,55304,385
Argonia High,504 N Pine St,,Argonia,KS,67004,359
Arkansas City High,1200 W Radio Lane,,Arkansas City ,KS,67005,470
Ashland High,311 J.E. Humphreys St,,Ashland ,KS,67831,220
Atchison County Community JR/SR High,908 Tiger Road,,Effingham,KS,66023,377
Atchison High  School,1500 W Riley St,,Atchison,KS,66002,409
Attica High,718 N Main,,Attica ,KS,67009,511
Augusta Sr High,2020 Ohio,,Augusta ,KS,67010,402
Axtell High,504 Pine St,,Axtell,KS,66403,113
Baldwin High School,415 Eisenhower,,Baldwin City ,KS,66006,348
Basehor-Linwood High School,2108 North 155 Street,,Basehor,KS,66007,458
Baxter Springs High,100 N Military,,Baxter Springs ,KS,66713,508
Belle Plaine High,901 N Main Street,,Belle Plaine ,KS,67013,357
Beloit Jr-Sr High,1711 N Walnut,,Beloit ,KS,67420,273
Bennington Junior High/High School,301 N Putnam,,Bennington,KS,67422,240
Beyond the Bell,2540 Junction Rd,,Kansas City ,KS,66106,202
Blue Valley High,6001 W 159th St,,Stilwell,KS,66085,229
Blue Valley North High,12200 Lamar Ave,,Overland Park,KS,66209,229
Blue Valley Northwest High,13260 Switzer Road,,Overland Park,KS,66213,229
Blue Valley Southwest High School,17600 Quivira Road,,Overland Park,KS,66062,229
Blue Valley West High,16200 Antioch Road,,Overland Park,KS,66085,229
Bluestem Jr/Sr High,500 Bluestem Drive,,Leon,KS,67074,205
Bonner Springs High,100 McDanield,,Bonner Springs ,KS,66012,204
Brewster High,127 Kansas Avenue,,Brewster,KS,67732,314
BRIDGES Academy,3101 N 10th St,,Kansas City ,KS,66104,446
Bucklin High,422 S Main,,Bucklin ,KS,67834,459
Buhler High,611 N Main,,Buhler ,KS,67522,313
Burlingame Junior/Senior High,417 North Dacotah,,Burlingame,KS,66413,454
Burlington High,830 Cross St,,Burlington ,KS,66839,244
Burrton MS/HS,105 E Lincoln,,Burrton ,KS,67020,369
Caldwell Secondary School,31 North Osage Street,,Caldwell ,KS,67022,360
Caldwell Secondary School-Chisholm Trail eLea,31 N Osage,,Caldwell ,KS,67022,360
Campus High Haysville,2100 W 55th St S,,Wichita ,KS,67217,261
Caney Valley Charter Academy,601 E Bullpups Blvd,,Caney,KS,67333,436
Caney Valley High,601 E Bullpup Blvd,,Caney,KS,67333,436
Canton-Galva Jr./Sr. High,506 S Kansas,,Canton,KS,67428,419
Cedar Vale High,508 Dora,,Cedar Vale ,KS,67024,285
Center for Advanced Professional Studies,7501 W 149th Terrace,,Overland Park,KS,66223,229
Central Heights High,3521 Ellis Road,,Richmond,KS,66080,288
Central Jr-Sr High,700 N Main St,,Burden,KS,67019,462
Central Plains Adult Diploma Program,600 S Main,,Holyrood,KS,67450,112
Central Plains Jr. Sr. High School,700 Albro,,Claflin,KS,67450,112
Centralia High,507 John Riggins Ave,,Centralia,KS,66415,380
Centre,2374 310th Street,,Lost Springs,KS,66859,397
Chanute Extension Academy,332 W Main Street,,Chanute,KS,66720,413
Chanute High,1501 West 36th Street,,Chanute,KS,66720,413
Chaparral Jr/Sr High,467 KS-2,,Anthony,KS,67003,361
Chaparral Virtual School,467 N State Rd 14,,Anthony,KS,67003,361
Chapman High,400 W 4th,,Chapman ,KS,67431,473
Chase County Junior Senior High School,600 Main Street,,Cottonwood Falls,KS,66845,284
Chase High,308 East C Avenue,,Chase,KS,67524,401
Cheney High,800 N Marshall,,Cheney ,KS,67025,268
Cherryvale Sr / Middle School,700 S Carson,,Cherryvale ,KS,67335,447
Chetopa High,430 Elm Street,,Chetopa,KS,67336,505
Cheylin Jr/Sr High,605 Bird Ave,,Bird City,KS,67731,103
Cimarron High,400 N 5th,,Cimarron,KS,67835,102
Circle High,905 Main,,Towanda,KS,67144,375
Claire Learning Center,540 S Rodgers Rd,,Olathe ,KS,66062,233
Clay Center Community High,1630 Ninth St,,Clay Center,KS,67432,379
Clearwater High,1201 E. Ross,,Clearwater ,KS,67026,264
Clifton-Clyde Sr High,"616 North High St., Suite 1",,Clyde,KS,66938,224
Coffeyville Virtual Program,1110 West 8th St,,Coffeyville ,KS,67337,445
Colby Senior High,1890 S Franklin Ave,,Colby,KS,67701,315
Columbus High,124 S High School Avenue,,Columbus ,KS,66725,493
Complete High School Maize,745 Academy Ave,,Maize ,KS,67101,266
Concordia Jr-Sr High,436 W 10th,,Concordia ,KS,66901,333
Conway Springs High School,607 W St. Louis,,Conway Springs,KS,67031,356
Council Grove Junior Senior High School,129 Hockaday St,,Council Grove,KS,66846,417
Crest High,603 E Broad,,Colony,KS,66015,479
Cunningham High,104 W 4th,,Cunningham ,KS,67035,332
De Soto  High  School,35000 W 91st Street,,De Soto ,KS,66018,232
Decatur Community Jr/Sr High,605 E Commercial St,,Oberlin ,KS,67749,294
Deerfield High,803 Beech Street,,Deerfield ,KS,67838,216
Derby High School,920 N Rock Road,,Derby ,KS,67037,260
Dexter High,311 N Main,,Dexter ,KS,67038,471
Dighton High,200 S Wichita,,Dighton ,KS,67839,482
Dodge City High School,2201 Ross Blvd,,Dodge City ,KS,67801,443
Doniphan West JR/SR High School,402 E Main,,Highland,KS,66035,111
Douglass High,910 E First,,Douglass,KS,67039,396
East High,2301 E Douglas Ave,,Wichita ,KS,67211,259
Eisenhower High School,1230 S 167th St W,,Goddard ,KS,67052,265
El Dorado High,401 McCollum Road,,El Dorado ,KS,67042,490
eLearn 379 Virtual School,1630 9th St,,Clay Center,KS,67432,379
Elk Valley High School,701 Delaware,,Longton,KS,67352,283
Elkhart High,150 Wildcat Ave,,Elkhart ,KS,67950,218
Ell-Saline Middle/High School,414 E Anderson,,Brookville,KS,67425,307
Ellinwood High,210 E 2nd,,Ellinwood,KS,67526,355
Ellis Jr/Sr High,1706 S Monroe,,Ellis,KS,67637,388
Ellsworth High,211 W 11th,,Ellsworth ,KS,67439,327
Emporia High,3302 W 18th Ave,,Emporia ,KS,66801,253
Erie High School,1400 N Main St,,Erie,KS,66733,101
Eudora High  School,2203 Church,,Eudora ,KS,66025,491
Eudora Schools Virtual Learning,2203 Church,,Eudora ,KS,66025,491
Eureka Jr/Sr High,815 N Jefferson,,Eureka ,KS,67045,389
F L Schlagle High,2214 N 59 St,,Kansas City ,KS,66104,500
Fairfax Learning Center,2226 N 85 St,,Kansas City ,KS,66109,500
Fairfield Schools,16115 South Langdon Road,,Langdon,KS,67538,310
Field Kindley High,1110 W 8th,,Coffeyville ,KS,67337,445
Flinthills High School,806 SE Rosalia RD,,Rosalia,KS,67132,492
Fort Scott Sr High,1005 S Main,,Fort Scott ,KS,66701,234
Fowler High,100 W 8th Ave,,Fowler ,KS,67844,225
Frankfort High,604 N Kansas Ave,,Frankfort,KS,66427,380
Frederic Remington High,8850 NW Meadowlark Rd,,Whitewater,KS,67154,206
Fredonia Jr./Sr. High School,916 Robinson,,Fredonia ,KS,66736,484
Fredonia Virtual Academy,300 N 6th,,Fredonia ,KS,66736,484
Frontenac Sr. High School,201 S Crawford,,Frontenac,KS,66763,249
Galena High,602 East 8th Street,,Galena ,KS,66739,499
